cell_id,skeleton_length,num_junctions,num_components,num_end_nodes,num_start_nodes,total_nodes,end_to_start_ratio,soma_area,soma_perimeter,soma_circularity,cell_area,cell_perimeter,cell_convex_hull_area,cell_convex_hull_perimeter,cell_solidity,cell_convexity,cell_circularity,cell_convex_circularity,branch_area,branch_perimeter,sholl_min_radius,sholl_peak_radius,sholl_max_radius,sholl_peak,sholl_sum,xmin,ymin,xmax,ymax,image_name,scan_name,global_cell_id
0,138,0,4,4,4,8,1.0,639,116.32590091228485,0.5934141156691295,1892,468.27416610717773,6052.5,370.0295715332031,0.31259809995869475,0.7901985595517806,0.10842529134192583,0.5554843099404103,1253,578.357426404953,16,19,100,4,138,0.37094116,17.569683,170.48904,124.44484,tile_x10240_y14336_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y14336_gray_matter_cell_0
1,3,0,1,1,1,2,1.0,407,81.94112491607666,0.7617288940366369,736,108.18376553058624,734.5,101.94070732593536,1.0020422055820286,0.9422920973952805,0.7902481554704553,0.8881910217934587,335,169.63960921764374,17,17,18,2,3,19.701149,393.3149,58.960808,435.25052,tile_x10240_y14336_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y14336_gray_matter_cell_1
0,6,0,1,1,1,2,1.0,301,61.94112491607666,0.9858666668828366,616,96.08326029777527,604.0,90.73758959770203,1.0198675496688743,0.9443641828607161,0.8384846451215902,0.921875612364974,315,152.02438521385193,12,12,16,2,6,428.3651,277.29016,469.89648,309.3916,tile_x10240_y15360_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y15360_gray_matter_cell_0
0,250,5,4,10,4,14,2.5,636,98.5269113779068,0.8232983446297115,2142,638.4406867027283,7913.5,359.3770397901535,0.2706766917293233,0.5628980847793105,0.06603713426232893,0.7699771135765261,1506,712.1391710042953,16,47,72,13,250,394.08606,0.16218567,512.0,142.10025,tile_x10240_y16896_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y16896_gray_matter_cell_0
1,230,4,5,9,5,14,1.8,607,94.66904675960541,0.851103833805848,1570,465.0609630346298,7094.0,331.3384974002838,0.22131378629828025,0.7124625022023432,0.0912199318059174,0.8120022849379357,967,544.0731556415558,12,55,103,7,230,232.24524,200.28873,352.83966,349.3481,tile_x10240_y16896_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y16896_gray_matter_cell_1
2,84,1,4,5,4,9,1.25,500,89.9827550649643,0.7759992403178466,617,247.0365778207779,1956.5,164.4300481081009,0.31535905954510607,0.6656101276928834,0.12704936628586422,0.9093422054732813,261,187.33809351921082,13,29,40,9,84,223.65419,36.285225,295.79272,96.72761,tile_x10240_y16896_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y16896_gray_matter_cell_2
0,84,0,2,2,2,4,1.0,265,83.79898953437805,0.4742181525338945,644,273.3208485841751,2681.0,238.41671895980835,0.2402088772845953,0.872296131798313,0.10833036602898936,0.5926977300814347,554,256.0071402788162,16,25,85,3,84,0.0,0.14952087,115.67754,70.94888,tile_x10240_y17408_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y17408_gray_matter_cell_0
0,141,2,3,5,3,8,1.6666666666666667,365,72.5269113779068,0.8719756600413875,1361,380.634556889534,3477.5,238.65280067920685,0.39137311286843995,0.6269866893574446,0.11804607749366973,0.7672624283731034,1001,427.50461411476135,12,27,77,5,141,171.79803,204.91983,256.24384,300.0931,tile_x10240_y17920_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y17920_gray_matter_cell_0
1,146,3,2,6,1,7,6.0,824,119.39696860313416,0.7263575827243007,1794,408.57568180561066,4610.5,267.2306400537491,0.38911180999891554,0.6540541984113735,0.13504772562795875,0.8113073054919245,984,485.10259318351746,14,26,76,10,146,390.17737,146.86404,502.4464,217.96939,tile_x10240_y17920_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y17920_gray_matter_cell_1
2,125,3,4,7,4,11,1.75,339,76.18376553058624,0.7339807887472926,1021,355.6051193475723,3362.5,242.26467168331146,0.30364312267657995,0.6812744207051736,0.10146110715524528,0.7199328354338805,731,326.97770273685455,11,12,77,5,125,227.26369,399.21844,299.4132,510.39966,tile_x10240_y17920_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y17920_gray_matter_cell_2
3,90,2,5,7,5,12,1.4,521,89.25483322143555,0.8218339947767882,1014,305.4213538169861,2172.0,186.80561244487762,0.46685082872928174,0.6116324550012141,0.13659947281448181,0.7821496307427218,553,291.1787132024765,12,17,50,8,90,291.22113,180.92612,371.18317,237.1879,tile_x10240_y17920_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y17920_gray_matter_cell_3
