rank,global_cell_id,scan_name,image_name,xmin,ymin,xmax,ymax,skeleton_length,num_junctions,num_components,num_end_nodes,num_start_nodes,total_nodes,end_to_start_ratio,soma_area,soma_perimeter,soma_circularity,cell_area,cell_perimeter,cell_convex_hull_area,cell_convex_hull_perimeter,cell_solidity,cell_convexity,cell_circularity,cell_convex_circularity,branch_area,branch_perimeter,sholl_min_radius,sholl_peak_radius,sholl_max_radius,sholl_peak,sholl_sum,min_dist_to_known,x_row_position
21,tile_x14336_y56832_gray_matter_cell_2,2017-160_Iba1_Temporal_pole_Batch_6,tile_x14336_y56832_gray_matter,186.46881,62.901993,270.22876,196.14052,287,8,3,11,2,13,5.5,240,56.87005722522736,0.932510595727998,739,512.3157962560654,7094.5,328.17869997024536,0.1041651983931214,0.6405789209868815,0.0353817092220806,0.8277722754296901,607,471.1025931835175,10,24,78,9,287,4.885107553429396,82405
22,tile_x22016_y26624_gray_matter_cell_3,2017-129_Iba1_Tp_B8_100,tile_x22016_y26624_gray_matter,217.2485,128.96994,265.42252,204.43588,49,0,4,4,4,8,1.0,391,73.35533845424652,0.9131101512709296,946,180.1665205955505,1418.0,165.7648822069168,0.6671368124118476,0.9200648470036036,0.3662290728390076,0.6484866443290033,555,180.1665205955505,11,13,52,4,49,4.831902617718912,71691
23,tile_x71680_y64512_gray_matter_cell_3,2017-063_Iba1_Temporal_pole_Batch_6,tile_x71680_y64512_gray_matter,232.23378,132.23189,292.48938,191.75352,81,2,1,3,1,4,3.0,200,50.041630148887634,1.0036376899408088,688,209.82337474823,1503.0,158.40069496631622,0.4577511643379907,0.7549239695357272,0.1963769753321306,0.7527567859016643,500,210.6518018245697,9,33,49,15,81,4.784424551847356,60769
24,tile_x92672_y23040_gray_matter_cell_0,2017-014_Iba1_Temporal_pole_Batch_6,tile_x92672_y23040_gray_matter,363.83105,248.74335,480.68677,463.5705,310,7,2,10,2,12,5.0,255,60.97056245803833,0.862004715472465,1613,652.2396762371063,8244.0,430.6229156255722,0.1956574478408539,0.6602218958986319,0.0476463683525887,0.5586677129215102,1505,615.0264731645584,8,35,130,12,310,4.744008621087598,42423
25,tile_x29184_y65536_gray_matter_cell_1,2014-048_Iba1_Temporal_pole_Batch_8,tile_x29184_y65536_gray_matter,142.47083,206.3952,165.07556,228.34601,0,0,0,0,0,0,0.0,467,81.31370830535889,0.8875630412809459,301,62.28427076339722,281.0,60.22810685634613,1.0711743772241993,0.9669874290595462,0.9750336217837126,0.9734592123339064,0,0.0,0,0,0,0,0,4.735953820534883,2420
26,tile_x61440_y34304_gray_matter_cell_1,2017-026_Iba1_Temporal_pole_Batch_8,tile_x61440_y34304_gray_matter,176.93527,388.75034,213.6388,432.2208,16,0,2,1,1,2,1.0,487,88.66904675960541,0.778385515938983,704,127.9827550649643,922.5,116.4445949792862,0.7631436314363144,0.909845978234948,0.5401067604383977,0.854943804679896,233,180.2670258283615,14,16,26,3,16,4.719408315631218,48721
27,tile_x64000_y19456_gray_matter_cell_1,2017-160_Iba1_Temporal_pole_Batch_6,tile_x64000_y19456_gray_matter,453.59705,142.92184,485.86005,180.47598,0,0,0,0,0,0,0.0,818,110.911687374115,0.8356194547170792,640,95.84061968326569,617.0,91.09114718437196,1.0372771474878444,0.950444054779802,0.87556947391426,0.9344212041086848,19,33.69848430156708,0,0,0,0,0,4.642235858069941,91282
28,tile_x61440_y25088_gray_matter_cell_0,2016-032_Iba1_Temporal_pole_Batch_8,tile_x61440_y25088_gray_matter,2.768982,176.39285,137.9885,270.1445,189,4,3,6,2,8,3.0,789,131.9827550649643,0.5691837435229987,1214,466.6173119544983,7210.5,328.9795256853104,0.1683655779765619,0.7050306905831013,0.0700659243357512,0.8372159719550961,719,310.0071402788162,15,47,80,9,189,4.586542532971219,30123
29,tile_x23552_y49664_gray_matter_cell_0,2017-014_Iba1_Temporal_pole_Batch_6,tile_x23552_y49664_gray_matter,216.6011,43.95941,376.10446,237.82126,704,23,1,20,1,21,20.0,428,81.4558436870575,0.810604742830586,4170,1260.312831878662,20573.5,570.1475404500961,0.2026879237854521,0.4523857299780215,0.0329905231829113,0.7953229864167405,3936,1230.8986183404922,15,123,196,21,704,4.547750535138135,33763
30,tile_x37888_y29696_gray_matter_cell_0,2017-063_Iba1_Temporal_pole_Batch_6,tile_x37888_y29696_gray_matter,303.9524,367.05762,379.2848,457.265,125,6,2,5,3,8,1.6666666666666667,309,63.94112491607666,0.9497467112234762,981,235.48022890090945,2596.0,213.97724997997284,0.3778890600924499,0.9086845676118944,0.2223156175916505,0.7124909441118698,685,293.4213538169861,10,11,75,8,125,4.532028154348153,55914
31,tile_x19456_y9728_gray_matter_cell_0,2014-048_Iba1_Temporal_pole_Batch_8,tile_x19456_y9728_gray_matter,49.396362,309.29044,179.75107,419.73544,260,7,3,6,2,8,3.0,320,67.5979790687561,0.8800197473635454,1415,467.24472856521606,6868.5,320.45809853076935,0.206012957705467,0.6858463647408302,0.0814474483821417,0.8404836388748428,1114,474.41630148887634,13,35,72,9,260,4.490448322730859,900
32,tile_x19968_y21504_gray_matter_cell_1,2017-129_Iba1_Tp_B8_100,tile_x19968_y21504_gray_matter,386.1543,3.522972,494.2119,107.28022,104,4,1,5,1,6,5.0,747,150.61017167568207,0.4138298929937775,1738,401.64674949646,3651.0,273.01659774780273,0.4760339632977266,0.6797430779412023,0.135385178827237,0.61552202303744,1019,470.5168067216873,35,61,86,7,104,4.4264289445728995,71255
33,tile_x72704_y31232_gray_matter_cell_2,2016-020_Iba1_Temporal_pole_Batch_8,tile_x72704_y31232_gray_matter,170.30655,192.76257,276.5555,283.7016,83,1,3,4,2,6,2.0,695,140.61017167568207,0.4417343699433002,1251,313.0782079696655,2478.5,235.07754695415497,0.5047407706273956,0.750858862003362,0.1603841678405646,0.5636071407945615,556,397.3036036491394,12,44,68,3,83,4.372124139222944,26468
34,tile_x67584_y60928_gray_matter_cell_0,2017-063_Iba1_Temporal_pole_Batch_6,tile_x67584_y60928_gray_matter,201.0256,36.579494,322.18008,126.81085,148,2,3,5,3,8,1.6666666666666667,190,48.62741661071777,1.009720257636787,871,322.9360725879669,4170.0,263.2040151357651,0.208872901678657,0.8150344216007922,0.1049530104958493,0.7564163347404016,687,320.3502861261368,8,34,74,6,148,4.369461956173341,60181
35,tile_x23040_y16384_gray_matter_cell_0,2017-026_Iba1_Temporal_pole_Batch_8,tile_x23040_y16384_gray_matter,12.138123,402.38525,132.37985,508.20813,160,4,4,8,2,10,4.0,508,94.18376553058624,0.7196502434148229,1491,410.2325359582901,4017.0,277.9078583717346,0.3711725168035847,0.6774398274445754,0.1113338696064715,0.653596986045254,1023,435.3036036491394,12,86,94,10,160,4.35229746477174,44144
36,tile_x49152_y37888_gray_matter_cell_1,2017-160_Iba1_Temporal_pole_Batch_6,tile_x49152_y37888_gray_matter,302.5484,388.5022,348.91486,445.69922,30,0,2,1,3,4,0.3333333333333333,609,118.08326029777528,0.5488459773505204,1026,150.95331752300262,1209.0,134.91573405265808,0.8486352357320099,0.8937579926462981,0.5658116701613553,0.8346626188107925,474,182.5096664428711,15,20,21,9,30,4.323299949485175,89053
37,tile_x43008_y14848_gray_matter_cell_1,2016-020_Iba1_Temporal_pole_Batch_8,tile_x43008_y14848_gray_matter,171.46591,124.3763,314.32678,255.52837,278,6,2,7,2,9,3.5,538,100.911687374115,0.6639099894897856,1221,653.1269783973694,9819.0,383.0508040189743,0.124350748548732,0.5864874927673285,0.0359691588084777,0.8409387549267334,956,537.1442233324051,15,46,111,8,278,4.309420418917634,21324
38,tile_x16384_y4608_gray_matter_cell_0,2014-048_Iba1_Temporal_pole_Batch_8,tile_x16384_y4608_gray_matter,305.81326,110.59994,366.28268,190.74417,88,1,4,4,3,7,1.3333333333333333,301,65.11269783973694,0.8921645848362821,489,198.5096664428711,1896.0,182.06002807617188,0.2579113924050633,0.9171343206531796,0.1559392366399097,0.7188180703380407,229,180.02438521385193,9,34,56,7,88,4.280079745764906,512
39,tile_x71680_y40960_gray_matter_cell_2,2017-160_Iba1_Temporal_pole_Batch_6,tile_x71680_y40960_gray_matter,443.92584,186.05865,490.1053,249.01062,28,0,1,1,1,2,1.0,584,89.84061968326569,0.9092372786227688,638,132.56854152679443,1051.0,140.79867041110992,0.6070409134157945,1.0620820655453318,0.4561940178936775,0.6662166351656699,151,112.08326029777528,16,27,43,2,28,4.277864866573887,92486
40,tile_x17920_y7168_gray_matter_cell_3,2017-014_Iba1_Temporal_pole_Batch_6,tile_x17920_y7168_gray_matter,1.9168091,146.89905,150.39597,260.62088,299,4,6,9,5,14,1.8,421,75.5979790687561,0.9257028231058528,1551,504.03152549266815,9271.0,363.50335109233856,0.167295868838313,0.7211916967634721,0.076719587643466,0.8816974956944588,1130,576.457931637764,12,91,99,31,299,4.260349036286795,33111
41,tile_x74240_y4608_gray_matter_cell_2,2014-048_Iba1_Temporal_pole_Batch_8,tile_x74240_y4608_gray_matter,440.19537,137.41385,508.88824,297.62662,162,5,6,10,7,17,1.4285714285714286,1009,147.15432798862457,0.5855378190171066,2279,457.64674949646,3843.0,298.2214114665985,0.5930262815508717,0.651641056764253,0.1367393229054574,0.5430034710502493,1272,575.7300097942352,13,36,78,8,162,4.25647735311884,12238
42,tile_x73216_y4608_gray_matter_cell_2,2014-048_Iba1_Temporal_pole_Batch_8,tile_x73216_y4608_gray_matter,333.9599,387.52045,404.28387,450.6928,57,0,2,2,2,4,1.0,290,61.94112491607666,0.9498383169303076,422,152.71067690849304,1380.5,152.81571173667908,0.305686345526983,1.000687802780476,0.2273963610560604,0.7428656173538732,157,139.15432798862457,11,33,38,6,57,4.195374996685589,12046
43,tile_x14336_y57856_gray_matter_cell_1,2017-129_Iba1_Tp_B8_100,tile_x14336_y57856_gray_matter,116.78519,268.2821,182.99063,321.08575,24,0,1,1,1,2,1.0,500,83.5979790687561,0.8990592442023073,1077,185.48022890090945,1454.0,149.81603908538818,0.7407152682255846,0.8077197228682826,0.3933963452945528,0.8140623119256988,577,246.9360725879669,12,12,35,2,24,4.170066677547102,70166
44,tile_x18432_y51712_gray_matter_cell_2,2017-160_Iba1_Temporal_pole_Batch_6,tile_x18432_y51712_gray_matter,388.9147,92.4241,425.13235,171.14038,33,2,2,2,1,3,2.0,528,97.94112491607666,0.6916933666976804,733,156.911687374115,795.0,129.77635550498962,0.9220125786163522,0.8270662158872318,0.374113390743945,0.5931791060521492,228,180.46803629398343,18,21,33,3,33,4.0775384099544905,83214
45,tile_x75776_y13312_gray_matter_cell_3,2017-063_Iba1_Temporal_pole_Batch_8,tile_x75776_y13312_gray_matter,349.89072,290.38464,378.5823,343.32306,26,0,2,2,2,4,1.0,326,69.4558436870575,0.8491997974177516,321,100.6690467596054,475.5,103.19605267047882,0.6750788643533123,1.0251021142269066,0.3980365780112067,0.5610921778616564,70,79.11269783973694,8,14,33,3,26,4.07624562666959,68021
46,tile_x37376_y49664_gray_matter_cell_0,2014-048_Iba1_Temporal_pole_Batch_8,tile_x37376_y49664_gray_matter,168.31018,128.91165,269.3529,257.11795,139,4,3,8,1,9,8.0,601,112.32590091228484,0.5985831879855769,1719,431.0020879507065,4029.0,288.9807050228119,0.426656738644825,0.670485626640079,0.1162858823578388,0.60627469086934,1176,455.1442233324051,12,25,93,6,139,4.070140215396158,4042
47,tile_x42496_y3584_gray_matter_cell_0,2014-048_Iba1_Temporal_pole_Batch_8,tile_x42496_y3584_gray_matter,347.6937,289.83154,478.03683,471.89282,206,2,7,9,7,16,1.2857142857142858,1043,194.811182141304,0.3453555256153532,2495,539.9310202598572,10719.0,416.203790307045,0.2327642503964922,0.7708462279250692,0.1075483755926276,0.7775925178033489,1470,667.7716399431229,23,84,90,10,206,4.065145695388854,5121
48,tile_x51712_y26624_gray_matter_cell_2,2017-063_Iba1_Temporal_pole_Batch_6,tile_x51712_y26624_gray_matter,273.9612,361.93503,310.02957,397.5781,1,0,1,0,0,0,0.0,513,89.94112491607666,0.796912426459995,570,95.25483322143556,562.5,89.38486516475677,1.0133333333333334,0.938376165721344,0.7894246400434517,0.8847170808584933,94,97.84061968326569,16,16,16,1,1,4.044879246331264,57865
49,tile_x72704_y30208_gray_matter_cell_0,2016-020_Iba1_Temporal_pole_Batch_8,tile_x72704_y30208_gray_matter,381.5982,186.5455,432.34503,247.0614,45,1,2,2,0,2,0.0,202,52.041630148887634,0.9372586335999414,359,136.46803629398346,871.0,127.54915857315063,0.4121699196326062,0.9346449325201726,0.2422380869103521,0.6727796135885893,186,149.88224983215332,10,13,37,3,45,4.0340900203963,26465
50,tile_x31232_y31232_gray_matter_cell_5,2018-001_Iba1_Temporal_pole_Batch_6,tile_x31232_y31232_gray_matter,323.18658,278.20584,395.85126,358.6365,86,2,3,5,3,8,1.6666666666666667,407,74.18376553058624,0.9293654539617392,922,217.82337474823,2442.0,200.4877108335495,0.3775593775593776,0.9204141248168712,0.2441922184951812,0.7634489628216216,516,269.8650048971176,12,26,54,6,86,3.988155563409711,101803
51,tile_x46080_y76800_gray_matter_cell_2,2014-048_Iba1_Temporal_pole_Batch_8,tile_x46080_y76800_gray_matter,161.64362,279.24814,237.25623,417.6185,179,4,4,8,3,11,2.6666666666666665,310,70.5269113779068,0.7831804319199039,1413,440.6173119544983,4311.5,291.6151651144028,0.327728168850748,0.661833199019918,0.091459518891527,0.6371153138551502,1137,443.34523379802704,13,14,94,10,179,3.988069508504531,6002
52,tile_x38400_y20992_gray_matter_cell_0,2018-001_Iba1_Temporal_pole_Batch_6,tile_x38400_y20992_gray_matter,37.982704,377.12866,121.56576,503.52386,130,2,4,6,4,10,1.5,608,102.32590091228484,0.7296965438763987,1499,347.5634891986847,4407.0,273.18428575992584,0.3401406852734286,0.78599822550337,0.1559348547009736,0.7420642109335043,905,354.3919162750244,18,32,69,8,130,3.9809523747333624,104640
53,tile_x70656_y37888_gray_matter_cell_2,2017-014_Iba1_Temporal_pole_Batch_6,tile_x70656_y37888_gray_matter,34.402695,245.35785,106.51256,303.97778,47,1,2,3,2,5,1.5,628,100.32590091228484,0.7840492994447101,840,218.6518018245697,1422.5,151.238050699234,0.5905096660808435,0.6916844473139829,0.2207918452066186,0.7815198204927584,287,203.92387998104093,18,32,42,5,47,3.9679034769593775,40137
54,tile_x80384_y61952_gray_matter_cell_1,2016-020_Iba1_Temporal_pole_Batch_8,tile_x80384_y61952_gray_matter,125.4253,216.56995,168.11719,271.90594,25,0,4,3,3,6,1.0,586,95.01219260692596,0.8157344412367926,940,155.29646337032318,1124.0,130.95799493789673,0.8362989323843416,0.8432773811829286,0.489795269869921,0.8235920410523366,373,205.92387998104093,15,17,25,4,25,3.9471328414262516,27666
55,tile_x29184_y18432_gray_matter_cell_0,2017-014_Iba1_Temporal_pole_Batch_6,tile_x29184_y18432_gray_matter,25.29657,236.48132,106.16821,351.51764,140,4,2,6,2,8,3.0,471,80.08326029777527,0.9228843471225776,1788,226.55129659175876,3588.5,258.3753933906555,0.4982583252055176,1.140471925244565,0.4377682641507562,0.6754924711255433,1323,288.9777027368545,13,20,73,8,140,3.9421596311492433,34716
56,tile_x81920_y11776_gray_matter_cell_1,2016-020_Iba1_Temporal_pole_Batch_8,tile_x81920_y11776_gray_matter,254.30766,58.495712,461.9533,174.65564,176,3,6,8,5,13,1.6,1312,201.62236428260803,0.4055704390050327,1567,483.9310202598572,9703.0,417.81603276729584,0.1614964443986395,0.8633793149753874,0.0840837238904783,0.6984666802354724,507,337.8061298131943,15,40,96,8,176,3.9371472892972847,27807
57,tile_x1024_y32256_gray_matter_cell_0,2018-001_Iba1_Temporal_pole_Batch_6,tile_x1024_y32256_gray_matter,156.60925,395.19696,297.91583,508.90192,280,12,3,15,3,18,5.0,466,89.25483322143555,0.7350760874587011,1834,651.7127648591995,8323.5,351.5576058626175,0.2203400012014176,0.5394364278541796,0.0542621178747507,0.8462970975694735,1375,698.0975408554077,13,82,90,13,280,3.9362744204898172,93659
58,tile_x22528_y61440_gray_matter_cell_1,2017-160_Iba1_Temporal_pole_Batch_6,tile_x22528_y61440_gray_matter,382.179,48.73442,411.87125,78.2354,0,0,0,0,0,0,0.0,536,90.5269113779068,0.8219005048767561,341,68.5269113779068,343.0,66.95445442199707,0.9941690962099126,0.9770534389440366,0.9125190238927822,0.9614905784192488,1,0.0,0,0,0,0,0,3.9317608119385956,84176
59,tile_x86016_y28160_gray_matter_cell_0,2017-129_Iba1_Tp_B8_100,tile_x86016_y28160_gray_matter,95.786835,307.01123,217.6933,467.963,237,7,3,7,2,9,3.5,913,118.46803629398346,0.8174821192033541,2343,597.9137753248215,5629.0,345.5110663175583,0.41623734233434,0.5778610237401817,0.0823578563643484,0.5925393393309764,1430,704.1391710042953,19,39,114,17,237,3.90997586388278,80774
60,tile_x54784_y25088_gray_matter_cell_3,2017-160_Iba1_Temporal_pole_Batch_6,tile_x54784_y25088_gray_matter,50.705822,189.182,123.51131,310.14606,150,5,6,10,6,16,1.6666666666666667,640,164.16652059555054,0.2984150008360811,1051,462.6589421033859,4668.5,279.8122401237488,0.2251258434186569,0.604791596270978,0.0617007806877848,0.7492966836103633,575,366.4335464239121,12,27,88,8,150,3.894817517810876,89893
61,tile_x36352_y11264_gray_matter_cell_1,2014-048_Iba1_Temporal_pole_Batch_8,tile_x36352_y11264_gray_matter,370.64227,2.9924622,469.5346,103.872345,148,1,4,5,4,9,1.25,836,122.81118214130402,0.6965307881510014,1787,464.7594473361969,3976.5,254.59766733646396,0.4493901672324908,0.5478052545154473,0.1039627989512786,0.7709070374739742,972,508.55843687057495,16,34,60,11,148,3.893494792881642,3711
62,tile_x46592_y34816_gray_matter_cell_2,2016-020_Iba1_Temporal_pole_Batch_8,tile_x46592_y34816_gray_matter,93.357185,97.24861,193.28516,237.23817,188,5,3,9,3,12,3.0,411,73.94112491607666,0.9446688150973336,1417,346.04877042770386,4310.5,281.7481929063797,0.3287321656420369,0.8141863719329188,0.1486979883911242,0.6823626309322713,1008,403.50461411476135,12,35,68,9,188,3.878354131984547,22122
63,tile_x5632_y21504_gray_matter_cell_0,2017-160_Iba1_Temporal_pole_Batch_6,tile_x5632_y21504_gray_matter,150.69327,35.38527,326.3362,155.20619,311,11,3,12,2,14,6.0,546,112.911687374115,0.5381764770881347,1973,758.5411919355392,8453.5,369.54339122772217,0.2333944520021293,0.4871764317568213,0.0430902099142123,0.7778852581311552,1445,802.9259679317474,14,54,103,12,311,3.8670174235691577,90189
64,tile_x57856_y38912_gray_matter_cell_1,2016-032_Iba1_Temporal_pole_Batch_8,tile_x57856_y38912_gray_matter,300.95993,43.602043,384.08615,225.42938,185,4,3,8,3,11,2.6666666666666665,320,67.35533845424652,0.8863715271741853,1290,432.9188276529312,3804.5,359.2461882829666,0.3390721513996583,0.8298234341773013,0.0864941284513887,0.3704444689688798,1002,455.4041088819504,12,70,83,8,185,3.8500696600651096,29978
